Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Kinderzirkus | Luftakrobatik für Kinder 49€ p.P. (3h),März27Mittwoch,"ab 49,00 €",1 Einheit,aerialflow,"Pfefferackerstraße 2a, 45894 Gelsenkirchen",https://www.eversports.de/e/workshop/OQN28ZD
Contemporary Workshop ,März09Samstag,"ab 50,00 €",1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/KWx3LyO
Pole Tricks & Transitions - Beginner Workshop ,März16Samstag,Ausgebucht,1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/WRl24o5
Regrips and flips in combos - Intermediate Workshop,März16Samstag,Ausgebucht,1 Einheit,Stadtgazellen Bremen,"Bremerhavener Straße 210, 28217 Bremen",https://www.eversports.de/e/workshop/wrZkEQ3
Pole Nick - Balance Baby,Feb24Samstag,"ab 70,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/AnumKko
Pole Nick - Alltime Favourites,Feb24Samstag,"ab 70,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/aqDwRxt
Strip Plastic mit BendyGio,März22Freitag,"ab 69,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/xpUUbAx
Spinning Flexy Illusions mit BendyGio,März22Freitag,"ab 69,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/yXAMy8l
Twerking Workshop ,Apr12Freitag,"ab 30,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/ioRS-mE
Dan Rosen - Dynamic Heels,Apr28Sonntag,"ab 65,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/mI91ydw
Dan Rosen - Heels Flow,Apr28Sonntag,"ab 65,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/Ngcpd4l
Dan Rosen - Dan's Favourite Combo's,Apr28Sonntag,"ab 65,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/ij8VZCH
Pole Double Workshop ,Mai26Sonntag,"ab 30,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/Met7fdZ
Trash Pop Sexy Choreo ,Feb25Sonntag,"ab 40,00 €",1 Einheit,Polearize,"Rottstraße 6, 44793 Bochum",https://www.eversports.de/e/workshop/516yIHG
"Loosen up my Buttons, Baby ",März09Samstag,"ab 40,00 €",1 Einheit,Polearize,"Rottstraße 6, 44793 Bochum",https://www.eversports.de/e/workshop/oGm0xhs
Sexy Chairdance,März16Samstag,"ab 40,00 €",1 Einheit,Polearize,"Rottstraße 6, 44793 Bochum",https://www.eversports.de/e/workshop/7yGrljL
Sexy Chairdance,März17Sonntag,Ausgebucht,1 Einheit,Polearize,"Rottstraße 6, 44793 Bochum",https://www.eversports.de/e/workshop/vmkQFeK
Rock ‘n‘ Pole,März24Sonntag,"ab 40,00 €",1 Einheit,Polearize,"Rottstraße 6, 44793 Bochum",https://www.eversports.de/e/workshop/4gGolhi
Partner Akrobatik,Dez12bis Apr 16,"ab 30,00 €",3 Einheiten,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/ezegoNQ
Aerial Hoop,März03Sonntag,"ab 50,00 €",1 Einheit,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/WccIM2q
Spinning an der Static,März10Sonntag,"ab 35,00 €",1 Einheit,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/SqEYfO3
Favourit Pole Combos and Splitz,Apr20bis Apr 20,"ab 79,00 €",2 Einheiten,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/OGUBUS8
Pole Choreo,Apr21Sonntag,"ab 35,00 €",1 Einheit,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/VVXdiD8
Let´s get Flip,Feb25Sonntag,"ab 25,00 €",1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/aaXFGLh
Hair Flicks mit Choreo bei Anna,März02Samstag,"ab 25,00 €",1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/LAlnDd-
C- Back Stretching,März08Freitag,Ausgebucht,1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/1sQFEoE
Find your Elegance,März17Sonntag,"ab 25,00 €",1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/qz-Llq1
Hoop Double ,März22Freitag,"ab 25,00 €",1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/zjrAzNO
Handspring Conditioning,März24Sonntag,Ausgebucht,1 Einheit,Pura Studio,"Schaufenberger Straße 61, 52477 Alsdorf",https://www.eversports.de/e/workshop/827gEoq
Twerkshop by Maddie,März02Samstag,Ausgebucht,1 Einheit,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",https://www.eversports.de/e/workshop/N4v8WV0
WORKSHOP: Chair Dance,März16Samstag,Ausgebucht,1 Einheit,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",https://www.eversports.de/e/workshop/onN7Doj
Workshop: Aerial Yin Yoga (alle Level),März23Samstag,"ab 27,00 €",1 Einheit,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",https://www.eversports.de/e/workshop/rhsldmK
Twerkshop by Maddie,Mai04Samstag,"ab 27,00 €",1 Einheit,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",https://www.eversports.de/e/workshop/H_FW2CU
Workshop: Aerial Yin Yoga (alle Level),Mai04Samstag,"ab 27,00 €",1 Einheit,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",https://www.eversports.de/e/workshop/9jN2M0O
WORKSHOP: Flying Pole (Anfänger),Mai12Sonntag,"ab 18,00 €",1 Einheit,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",https://www.eversports.de/e/workshop/arPk7c0
WORKSHOP: Flying Pole (Mittelstufe & Fortgeschritten),Mai12Sonntag,"ab 27,00 €",1 Einheit,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",https://www.eversports.de/e/workshop/r3elm4w
Aerial Hoop Beginner,Feb09bis März 08,"ab 68,00 €",5 Einheiten,Pole Plus,"Ulmer Straße 152, 86156 Augsburg",https://www.eversports.de/e/workshop/upSDQIA
Flexibility Workshop,Apr08bis Apr 29,"ab 48,00 €",4 Einheiten,Pole Plus,"Ulmer Straße 152, 86156 Augsburg",https://www.eversports.de/e/workshop/lBLI7xf
HANDSTAND Vorbereitung,Feb25Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/s-CvYfY
RÜCKBEUGE I Intensiv,Feb25Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/lIzIIH9
HANDSTAND Vorbereitung I Teil 2,März03Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/1hwRppH
ACRO YOGA ,März03Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/FWO9nVb
POLE STAR I Easy but Beautiful I Julia Pengler ,März10Sonntag,"ab 45,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/wHwtdS-
POLE STAR I Static Low Flow I Julia Pengler ,März10Sonntag,"ab 45,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/D7_g8hU
 POLE STAR I My favorite Tricks & Combos I Julia Pengler ,März10Sonntag,"ab 45,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/yXJE2Qf
POLE INVERTS I Get up side down,März17Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/AL0d8uV
AERIAL FUN I 8-12 Jahre ,März28Donnerstag,"ab 9,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/WpCq6MN
DANCE Kids I 4-5 Jahre ,Apr03Mittwoch,"ab 5,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/uE03gmT
DANCE FUN I 6-8 Jahre ,Apr03Mittwoch,"ab 5,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/Nm33K4u
POLE DANCE Tricks & Spins I Level 4,Apr07Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/DmdrEre
THAI YOGA MASSAGE ,Apr14Sonntag,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/U27XEmo
AERIAL HOOP I Probestunde,Apr14Sonntag,"ab 10,00 €",1 Einheit,BALANCE Neumarkt,"Deininger Weg 94, 92318 Neumarkt in der Oberpfalz",https://www.eversports.de/e/workshop/DujyYDr
Exotic Pole Dance | Beginner,März24Sonntag,Ausgebucht,1 Einheit,Pole Dance Krefeld,"Hochfelder Straße 47, 47809 Krefeld",https://www.eversports.de/e/workshop/_LQRruK
Chair Dance | alle Level,Apr13Samstag,"ab 35,00 €",1 Einheit,Pole Dance Krefeld,"Hochfelder Straße 47, 47809 Krefeld",https://www.eversports.de/e/workshop/-vGIMzu
Lapdance Valentine's Special,Feb24Samstag,Ausgebucht,1 Einheit,PoleCreation,"Immenstädter Straße 11, 87435 Kempten (Allgäu)",https://www.eversports.de/e/workshop/Zj0NETg
Einsteiger-Workshop,März03Sonntag,"ab 30,00 €",1 Einheit,Star Poledance,"Rudolf-Diesel-Straße 6, 53919 Weilerswist",https://www.eversports.de/e/workshop/IVfDf6M
*Shake that* Twerk Workshop,Feb25Sonntag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/JM68hgK
Sexy Floorwork Workshop,März17Sonntag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/9PbaXsNu8
Hip Hop Pole Choreo Workshop,März24Sonntag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/2f93D4_
Workshop mit @bou_boulette (Janine Hollung),März02bis März 02,"ab 65,00 €",2 Einheiten,POLEside,"Weststraße 1, 74193 Schwaigern",https://www.eversports.de/e/workshop/llCPKoMLh
